job_title,company_name,time_posted,num_applicants
Junior AI Engineer,Devoteam,6 days ago,
AI Software Engineer,Medius,1 week ago,
Machine Learning Operations Engineer,DigeHealth,1 day ago,
Data Scientist - [F/M/X],Mantu,1 week ago,
Data Scientist,Yassir,1 month ago,
Artificial Intelligence Engineer,sahbani recruiting,1 day ago,
Scientist,Infor,6 days ago,
Scientist,Infor,1 day ago,182 applicants
Data Scientist Manager.,PwC Tunisia,1 week ago,
"Scientist, Associate",Infor,2 weeks ago,188 applicants
